"Metabolite","Sample_1_Phenotype2_B","Sample_2_Phenotype3_B","Sample_3_Phenotype2_A","Sample_4_Phenotype1_B","Sample_5_Phenotype2_B","Sample_6_Phenotype2_B","Sample_7_Phenotype1_B","Sample_8_Phenotype2_B","Sample_9_Phenotype2_B","Sample_10_Phenotype3_A","Sample_11_Phenotype3_A","Sample_12_Phenotype2_B","Sample_13_Phenotype1_A","Sample_14_Phenotype3_B","Sample_15_Phenotype2_A","Sample_16_Phenotype2_A","Sample_17_Phenotype1_B","Sample_18_Phenotype1_A","Sample_19_Phenotype1_B","Sample_20_Phenotype3_A","Sample_21_Phenotype3_B","Sample_22_Phenotype1_A","Sample_23_Phenotype2_A","Sample_24_Phenotype3_A","Sample_25_Phenotype1_A","Sample_26_Phenotype2_B","Sample_27_Phenotype1_A","Sample_28_Phenotype2_B","Sample_29_Phenotype1_B","Sample_30_Phenotype2_A","Sample_31_Phenotype1_B","Sample_32_Phenotype1_A","Sample_33_Phenotype3_A","Sample_34_Phenotype3_B","Sample_35_Phenotype2_A","Sample_36_Phenotype3_B","Sample_37_Phenotype1_B","Sample_38_Phenotype2_A","Sample_39_Phenotype2_B","Sample_40_Phenotype3_A","Sample_41_Phenotype1_A","Sample_42_Phenotype3_B","Sample_43_Phenotype1_B","Sample_44_Phenotype2_B","Sample_45_Phenotype1_A","Sample_46_Phenotype1_A","Sample_47_Phenotype3_A","Sample_48_Phenotype2_B","Sample_49_Phenotype3_A","Sample_50_Phenotype3_B"
"myo-inositol",116649073.985054,108709668.820972,114345740.745208,126707176.725652,138372595.788419,135767811.462373,96072356.311327,120134414.642868,116530970.528328,133965021.751936,121601613.380116,112592583.348527,108636502.976473,111601980.339266,113089854.937161,120000009.365463,111320196.53502,123329503.694696,104738406.45184,104030017.650632,93126356.7967442,100557690.902389,129729898.713944,90564259.6800637,109639622.146677,124812696.344856,124584423.020088,95128248.116796,120955508.145064,111956103.673418,129160429.655877,122298688.947447,128719925.225489,113841969.847645,144293430.881641,110158860.074638,119451583.032044,89771600.4756284,129877624.846289,115838000.759077,131586094.106701,127653325.500403,128665062.180151,102654618.284583,115575571.177576,111643867.641601,116086005.592357,109005029.59887,101718704.592281,110444111.983227
"myo-inositol phosphate",1166926.44854083,1243461.32599986,1266658.15600568,1062583.8057241,1881676.32079974,1021798.33037364,1049114.9036148,976182.616670543,1124439.04091772,1769793.78554497,1249280.10861446,988239.313753963,700832.420082679,1099945.26046079,1229299.99408895,1225306.03959846,1324871.6488771,1250922.70016252,1850428.97924127,844582.450399423,563879.944619158,1025159.21824639,958065.926088636,782515.69951266,858384.380196784,1755264.04641719,1911254.66158677,890058.975321127,897650.910103953,1275953.38853917,1465380.60134803,1449024.43067521,1430957.2410055,1208054.89101338,1326213.72195025,1032104.50985324,1473113.38040769,966034.279359035,1421415.01987597,916863.660587691,2200017.43151806,1231004.723531,1432478.41428098,789056.983027509,1713828.21674516,1399766.33030119,1232394.18601646,1417802.69233678,908688.437426346,1154068.8895972
"myristic acid",318466.621984958,304252.97331154,555928.446297372,345172.955810498,369775.904098408,394083.487161761,472896.3074195,372621.171323545,388180.38975158,528622.125632862,407840.844896104,1420799.17062291,422957.620189671,575314.096290924,276351.967482756,956892.049564934,519526.985182231,500463.749406913,1165231.44160496,681009.187414689,353867.097076224,380274.415253066,500853.390313632,388303.95538618,285676.861739108,279004.865890504,406205.954217923,223679.621374338,407404.516841282,507660.847865211,529605.748943648,613266.602452742,217858.223341629,353287.303102176,349688.618249708,362042.270212495,574070.330486043,597103.119319227,384809.257570539,60306.49339569,646745.478346668,287833.84677696,257215.670486311,332522.657740428,536940.388044575,673802.330423784,376822.702165344,449136.619788737,286556.227758579,249806.621581636
"N-acetyl-D-mannosamine",1591473.51473787,2077769.55105392,2104248.39968617,2551105.14667521,3430122.61138194,866878.379924889,1612672.44117658,2008109.67038074,2338277.63046383,2727607.1053948,1585931.83734104,3900768.94455793,1415921.13543778,1575190.10553325,1422690.15138484,2269000.95315134,2244356.30063903,1872817.09827116,1600913.91224289,864727.75642287,2441194.84704529,918710.7313233,2406535.15407256,849923.889378842,1875101.31272159,2264931.21190773,1426883.62760729,1298934.47066403,1538819.60461058,975295.184355561,1050622.34684599,1975797.50463057,1839628.99148966,1251738.76029566,1852410.450319,1801742.64462336,3423174.77813499,1043707.94000654,2856455.92884039,1160073.70422743,2283922.44515922,2722432.57464212,1912302.26345883,999980.564889439,2814861.82056898,2284601.42776057,2300900.24123076,1135710.40675936,995580.889154979,1378671.51189542
"N-acetyl-L-aspartic acid",246335.59564995,299337.195305988,284509.965748542,291577.0733756,373101.744205692,329919.02409644,159209.57372334,288701.27722868,317905.703158132,419871.107836457,290754.446654956,208157.59546132,178940.059446087,366790.802666058,181324.68492529,483625.283484032,206701.0236153,376410.965262892,353996.974405817,344342.323155165,142537.21073878,127356.46532103,329171.554438242,129215.9897888,152896.959647,335316.87585105,354920.081877576,203554.68808956,131474.89462774,172531.04451467,153273.33837674,267862.876233022,150971.867131258,186407.491641388,142239.527399372,128201.51662752,282450.554928245,130422.62404505,326837.681433201,85591.42705715,407959.507500838,217185.568303522,213324.67304705,139663.680442979,265240.28104902,339573.538606576,376431.345108353,403830.793076032,136384.31689205,133224.90737391
"N-acetylneuraminic acid",4630347.23498219,5981661.9345438,10255501.2284462,7894157.73381126,10464542.8435191,5605791.64053085,8483964.17404346,10106163.267098,10162293.4379435,7982953.97382018,10814412.7595914,5208164.71336446,3413585.29880683,11664248.8396158,6429620.65183522,12294378.1074911,6157519.88183842,7091434.55957208,10272129.7226141,6820703.56689247,4950810.0864512,5091804.54915412,6229658.61071722,4802667.12903651,5947291.85602953,12068563.5502604,9537526.28712932,7558836.04931404,5541633.28802696,5654808.04973156,6294039.68894721,11281946.6533086,7957170.05237528,7082013.22314459,6574053.02223579,8004960.79495749,8076934.29661741,3108259.13843216,6500819.38191672,3712712.07842026,10848260.4620182,8011822.73538988,7232332.12687522,3873713.65986024,9431906.37878806,8576563.9477125,4918790.00268236,8835112.29307051,4746628.20118029,5418281.94318709
"nicotinamide",1285410.71633988,1625916.07524063,1395214.63665216,1532404.01621458,1874289.76141412,1908176.68075702,1428471.71608016,1202529.40686186,1507521.86479579,2350624.0308082,1897840.06701064,2226123.12681248,1452989.95614163,1627246.34714432,1605689.96945716,2211914.83912199,1990381.047413,2608927.11639169,582881.910061367,1494246.30176694,2010413.79603337,1472066.308161,1779922.64967545,1366727.45218809,1424470.33475669,1215228.20774755,1806225.84226458,1046784.60421503,1340806.34973368,1364890.69480639,1264008.5854049,1492477.5821291,1666584.57414636,1591845.78648888,1768856.26974638,1468352.32008189,3143983.98526521,957925.08153329,1351693.72530782,1525895.37021053,1965305.78462346,1543302.24999153,1588542.08051734,1578981.51761349,2213732.75255882,1910616.23623218,1962223.72211938,2178142.56675245,1717622.63457492,1632161.30754304
"N-methylalanine",790633.493542639,1233845.16150238,1300632.27597646,1031542.94570079,1269695.98831866,727440.378198437,944799.470913673,1277361.58185594,1080619.97508436,2015817.33619235,1004546.43947147,803071.019081487,1657300.07354839,825158.404242522,643492.095337048,1037178.13940682,1092573.02987431,1210268.90060291,964675.899226004,796680.663289646,821341.61050289,737866.423279118,1025305.22131426,706962.839185019,983731.883692586,533028.425317133,791244.646810286,610759.350303417,728227.683755301,745796.575797,1072171.06590436,1196296.50846885,1214549.67602449,486409.499719003,912422.374413324,734055.946749784,1422541.46633923,833352.847522873,649778.807670672,954158.637769265,1677769.40044388,2281552.40943222,1041360.37549325,489811.381475289,1336902.8881549,988193.234904868,806555.291917015,821147.483512549,745000.799706959,1029138.91454803
"O-phosphocolamine",8014627.12062149,8430844.4505718,9491680.54863933,9151256.64872045,14134566.4209001,10290869.1160537,8343391.79460776,9480370.62679463,9045483.47716914,12579813.8290312,9283092.04523637,8005603.184893,7580308.36583604,9711453.09860466,9568750.10870185,10586430.9844897,10023208.2893715,10765997.5195026,10702121.5251597,7578659.88663004,5333666.37012972,8723557.8916645,11697880.2789894,4549416.70950559,8047643.02700392,16408336.728098,12467862.9298544,8248809.68020783,7357757.40928626,8833012.2941524,12901992.7939197,11911037.1994886,12154341.7973012,9179945.36883735,10551761.8433378,8163856.38303144,11531013.9143948,7989036.90768298,13505322.1020877,5944265.32931048,14375339.8034601,11813180.2791105,12097377.711627,6465267.89065806,11074071.2585815,10515868.5232872,10305061.0453249,13264677.4481501,8600993.70686808,8524813.36623609
"pantothenic acid",796297.24600153,1501772.97635567,1337005.21392528,1235262.19452887,1045389.67788274,1987874.92631456,2465566.89400447,554635.39798441,1940050.2845369,1213101.06807561,1211871.7092495,939552.753936816,1978043.71125422,1339395.39565997,1615136.70448205,1409396.97828783,1393909.41201339,2364564.10242513,1614088.82212947,1056530.44854292,473921.77582647,1272685.16275883,1723817.95419685,440956.343527498,708976.033187214,986308.691420336,1846789.45310402,505070.872994104,930399.1258836,1431380.65198177,1813067.67297018,950368.5193382,2274359.86445519,814690.682274138,779063.644355123,807876.540659486,2215525.3096032,1005489.42999928,762044.62799315,605594.6056326,2105928.47538771,1424130.09085842,1576938.26616942,608130.033054156,1619948.00544956,2470183.58078492,964074.216616978,748441.736871262,1095454.81480948,1638013.80380532
"phosphoenolpyruvic acid",821110,553736,1129626,239364,680663,585015,706873,466785,943345,981798,817657,944571,734539,631952,609132,917809,1068962,2260722,3005483,1934493,639874,632474,865857,664520,549972,1434463,543848,860713,1251317,1186998,716284,1128488,1028781,814444,1809133,1671921,3777014,399371,1091696,1101150,1943402,1216418,670016,985955,1778980,2131456,1265823,1659227,880694,501963
"phosphoric acid",159363474,162032066,154152749,150602252,178116579,148037769,163201483,156593941,175885350,171584988,182158625,203276319,155679251,168963606,170107827,191805831,178464476,190389210,174495914,167645383,153559538,143031717,166939809,126740347,148537273,187868158,197134420,153246989,172888788,172953029,162168114,179348597,167916397,170196891,194187539,175102279,211995726,142908833,177514888,168663174,187317263,173764486,172962828,175880557,190861306,177419690,178387100,188422538,150199945,164864084
"pyruvic acid",851432,1301375,1490393,1081315,1933493,1377459,1031184,1095372,1985736,1946365,1345434,1547550,1740388,1707146,1228418,2231579,1922330,3212554,2007713,1545937,1142703,2220122,3235057,1238793,1341185,1411185,1446817,1241950,2076450,1427114,1354918,1511992,1529014,2153064,1634130,1283049,2181125,695627,1782989,1014550,1974016,1476771,1631919,1154179,1807880,1584037,2296642,1638345,1226798,1007865
"scyllo-inositol",1067013.12702251,1664893.93050577,1393333.9711364,2912258.26816851,2762011.76262839,2047929.74521009,1858421.5268939,3833878.74596521,3338257.14102727,1233083.48243866,1264298.31540152,1757831.49762517,2859448.26844063,1364044.67824225,1328825.32877008,1127250.81796662,3681602.78396403,2516268.20293134,1083831.41668689,3003583.47840109,1320289.71171042,2639230.25195996,2261743.42141647,1076200.47617307,1921279.24356829,2252673.63664604,10205793.4321001,474323.150491234,4033198.69144665,2113635.79858493,4036335.59914316,958944.410683334,4746400.49730923,2102861.15192676,2418428.5635319,1842414.94247426,5009883.28107926,588543.771709645,1570463.66127273,1650868.85611845,4194509.92457439,973640.919234045,3186877.52835779,645758.878256024,2353364.29720463,4680363.32987493,1118023.05577969,1245894.84792888,718248.967426663,1443798.33577333
"sedoheptulose-7-phosphate",1325263.85616859,2302367.66617615,4013386.4658724,1822527.54075009,4100099.01278273,2835236.55253783,3237325.74893664,3356700.29524851,4222371.86665443,4222465.27345979,3712453.11019282,4080621.82541138,2038848.58759439,3051872.68957051,4298919.54644969,5486593.17309611,2697987.64350945,10193986.376974,5529002.41159199,3007170.05878975,2414064.72335951,1939077.16117968,7062502.89996463,1966019.74800643,3807640.89682027,7744223.74005747,4165866.11943663,2362602.25515528,5727761.68424482,2803841.67592674,2983766.06619736,3993923.72223704,3983932.90307635,3806333.96079127,2049593.41196725,2751449.99539418,4532778.85906577,1402294.72422902,4432041.59893011,1530493.7578829,5250653.15850258,2415911.42975941,5200174.0054057,2351362.86392576,4378395.88774924,3986497.31306784,3846656.81221229,4346140.24856346,2318843.76695491,2474188.92770765
"sialic acid",514780.565113923,699396.725122578,1263900.73227156,897481.196807942,1191506.45071767,689847.513876184,1088814.21074621,1203429.65627033,1449522.76936914,1001570.69084913,1405647.90524405,1000531.22748977,547420.886521002,1618868.4438869,956789.055587044,1983171.66287796,1190050.74873693,907029.94124742,1877951.42997363,964525.90879438,980946.951224252,1238306.21509741,971246.495059115,864173.713523861,1065063.98887127,1857617.13478401,1363289.22723019,1532691.27991396,950100.005980357,1034113.28573117,938747.855785322,1768523.18512869,1357877.66296015,1322186.56216821,1302030.492387,2066990.87289633,1354471.68565042,748003.275113344,1398288.38212003,924531.233926033,2051224.46455548,1705785.5067645,1383870.63636915,889333.413743433,2248411.16439623,1653649.81661361,1090909.60375797,1311309.96290882,1182901.53044793,1397707.56280301
"succinic acid",4901310,5231302,6163225,5290301,6116749,5120764,5196675,5438317,5361190,6851474,5659394,6489754,5548786,5175424,4623748,6549522,5671558,4936606,6124915,3564700,4176157,4322545,5473047,2510551,4458570,5664794,7413948,4983734,4151468,5551555,4499586,6121116,6438443,4184165,5981169,5602035,6980644,4880307,4999940,4590565,7054293,4312495,6655912,3855566,7489758,4972562,5282222,5269515,4117958,4756424
"sucrose",316145.245571915,178101.693692722,298137.566461222,461053.630739,285918.486936388,274226.065583933,391932.43660028,402833.282771191,547435.369243688,495688.757451008,9929043.12520117,298406.508555007,734207.521819397,479802.766890201,2301574.78053105,1106690.78452087,810465.058587118,834891.807720255,2465095.98051577,576302.053059562,478642.948448684,425360.05515887,633494.961511373,340723.227620256,707885.093840204,490369.75948778,575152.733075612,416673.657268092,511352.037344592,617663.493528437,617520.171479704,471083.003533702,807070.186102699,765472.37547432,492613.531002225,314736.473440377,846376.579447289,362971.953423246,622411.966661094,358684.871225848,1202577.22972906,552926.207381766,617661.654732717,1006503.91770135,844705.127862776,592791.552286275,667162.134367498,871934.575990498,719657.150928114,465829.431439858
"taurine",50958070.4503448,51567170.6845362,53214649.5571437,49934173.5311895,69702854.4813915,51006379.9413351,48334505.3044639,39440133.7241072,35671747.8509354,79346538.0465885,65843345.7310946,43641210.8511469,36394207.6986133,44190723.2619224,50254924.9021403,81943780.6383878,39208436.0717087,72204753.2148234,42259822.15834,44087556.1405226,30044555.6379622,27891791.4880798,42560038.2466885,34995799.7494342,33599358.3081695,52472296.2557095,71429613.9940033,30930756.8518218,36108294.5044197,35678953.8858192,51979412.1897993,48682355.6031055,44950872.6991524,35379335.2928837,40233834.8929781,28914258.9819321,64335321.847959,32830814.0758891,33605311.9491023,25704492.6627675,46675546.8137966,35724189.36215,42012600.1989235,33828461.3836174,35070511.1950384,43292261.6771722,40069667.1662953,58226884.4306348,32615437.3258434,29957415.1207112
"thymine",572315.82088849,592319.308575534,642974.186996288,620591.327440842,801366.471688372,496656.204875901,466168.290040276,456381.180452871,503260.57756274,749506.661213976,576635.818778489,514652.589623614,486882.320894242,459913.64492105,463493.706182718,580495.013001261,407783.655734378,617566.259258627,604340.052875106,525883.938145663,346039.022631642,321908.857769957,509597.596249706,261376.24553261,306775.776964672,884743.990204866,699965.697479227,418883.93336072,413867.630939734,584401.23689999,461146.846186736,724527.157428475,620606.646824629,534456.958612104,623834.328496621,564279.590010836,733659.089347094,427737.188720724,578543.744885652,446562.587828102,612085.495967735,419347.981805031,520986.005245176,309510.544092962,741899.433898354,551902.229902917,476342.395161075,540459.326410066,306812.275539968,308500.232869421
"uracil",5127251.01793606,9463639.18354733,5404723.58555226,6600934.75180754,6621423.57262953,3692456.93671675,7216813.70942848,5059999.25471679,7784689.9927809,7909830.86743649,6981141.48759475,11511993.4408829,6072074.47219019,5609804.95290184,5243879.3721001,7238127.86072975,10115288.4699192,9213984.2040733,6858480.32900329,3320968.073934,9505126.78080325,5623339.49463484,7259506.96930374,4965827.1054282,5087503.88125631,5751268.12190145,7066291.61050084,4363199.66170683,5545271.93664926,6163052.27772847,2750134.3684628,6054525.02471286,8791593.91277668,7516260.23638069,7568451.91987711,7478431.13433943,11059618.401356,3904509.89380235,5570907.41060529,6031199.54701575,7559761.30768791,4733493.91821242,7118827.28884907,5026305.43551512,9277423.3066135,6638996.02785809,8376841.15134627,4700216.37922942,6809409.18163684,7124568.96849868
"urea",9469408.38092006,4612538.26058567,7274927.34517204,8525012.72021141,12621908.0749429,4926924.98106124,6323236.95130698,5938519.05284004,7090043.06434137,13509384.4243077,11972574.121013,9162207.46096904,11102932.1572106,9797836.92405362,7332269.22486734,12785596.1976469,6746210.32405261,9306182.83930306,18679452.4310013,7108057.92475375,7267238.99313784,9378287.25962627,5950820.1639794,8146037.08867208,6524006.1399281,4864590.72224488,13205150.533294,5260546.27377383,8900607.89655815,7331971.40125046,9752505.00318861,6565007.96211708,15826754.916535,7095569.84434164,8996042.2194916,15202253.858534,9925016.47770074,6386994.52542609,9079342.86513818,9745157.91479161,10703859.8318201,9001237.72579476,9846954.97898878,4796680.69109748,13080141.5573967,25486643.7335619,7017312.0793649,6716503.02267287,6419758.07451185,9743983.78708814
